scenario_family,seed,stress_case,od_id,policy,mean_truth_exposure,planner_calls,route_change_count,missed_useful_replan,unnecessary_replan,route_oscillation
moving_center,9206,sources_disagreement,OD02,never,0.36363893933717323,1,0,False,False,False
moving_center,9206,sources_disagreement,OD02,always,0.35886866377215915,12,2,False,True,False
moving_center,9206,sources_disagreement,OD02,triggered,0.36363893933717323,1,0,False,False,False
dual_center,9206,rain_down_water_high,OD01,never,0.49259641129039294,1,0,False,False,False
dual_center,9206,rain_down_water_high,OD01,always,0.49320847155499986,12,1,False,True,False
dual_center,9206,rain_down_water_high,OD01,triggered,0.49259641129039294,2,0,False,False,False
dual_center,9206,rain_down_water_high,OD02,never,0.5140384383474578,1,0,False,False,False
dual_center,9206,rain_down_water_high,OD02,always,0.5141654826173815,12,1,False,True,False
dual_center,9206,rain_down_water_high,OD02,triggered,0.5140384383474578,2,0,False,False,False
dual_center,9206,water_gradually_stale,OD01,never,0.49259641129039294,1,0,False,False,False
dual_center,9206,water_gradually_stale,OD01,always,0.49320847155499986,12,1,False,True,False
dual_center,9206,water_gradually_stale,OD01,triggered,0.49259641129039294,2,0,False,False,False
dual_center,9206,water_gradually_stale,OD02,never,0.5140384383474578,1,0,False,False,False
dual_center,9206,water_gradually_stale,OD02,always,0.5141654826173815,12,1,False,True,False
dual_center,9206,water_gradually_stale,OD02,triggered,0.5140384383474578,2,0,False,False,False
dual_center,9206,water_block_outage,OD01,never,0.49259641129039294,1,0,False,False,False
dual_center,9206,water_block_outage,OD01,always,0.49320847155499986,12,1,False,True,False
dual_center,9206,water_block_outage,OD01,triggered,0.49259641129039294,2,0,False,False,False
dual_center,9206,water_block_outage,OD02,never,0.5140384383474578,1,0,False,False,False
dual_center,9206,water_block_outage,OD02,always,0.5141654826173815,12,1,False,True,False
dual_center,9206,water_block_outage,OD02,triggered,0.5140384383474578,2,0,False,False,False
dual_center,9206,water_recovery,OD01,never,0.49259641129039294,1,0,False,False,False
dual_center,9206,water_recovery,OD01,always,0.49320847155499986,12,1,False,True,False
dual_center,9206,water_recovery,OD01,triggered,0.49259641129039294,2,0,False,False,False
dual_center,9206,water_recovery,OD02,never,0.5140384383474578,1,0,False,False,False
dual_center,9206,water_recovery,OD02,always,0.5133897136454938,12,3,False,True,True
dual_center,9206,water_recovery,OD02,triggered,0.5140384383474578,2,0,False,False,False
dual_center,9206,rain_stale_water_fresh,OD01,never,0.521059593525924,1,0,False,False,False
dual_center,9206,rain_stale_water_fresh,OD01,always,0.5023190698770746,12,3,False,True,False
dual_center,9206,rain_stale_water_fresh,OD01,triggered,0.5135381820072115,2,1,True,False,False
dual_center,9206,rain_stale_water_fresh,OD02,never,0.5055256200373293,1,0,False,False,False
dual_center,9206,rain_stale_water_fresh,OD02,always,0.5107793327197635,12,3,False,True,False
dual_center,9206,rain_stale_water_fresh,OD02,triggered,0.5079378006397636,2,1,False,True,False
dual_center,9206,water_stale_rain_fresh,OD01,never,0.49259641129039294,1,0,False,False,False
dual_center,9206,water_stale_rain_fresh,OD01,always,0.49320847155499986,12,1,False,True,False
dual_center,9206,water_stale_rain_fresh,OD01,triggered,0.49259641129039294,2,0,False,False,False
dual_center,9206,water_stale_rain_fresh,OD02,never,0.5140384383474578,1,0,False,False,False
dual_center,9206,water_stale_rain_fresh,OD02,always,0.5141654826173815,12,1,False,True,False
dual_center,9206,water_stale_rain_fresh,OD02,triggered,0.5140384383474578,2,0,False,False,False
dual_center,9206,sources_disagreement,OD01,never,0.49259641129039294,1,0,False,False,False
dual_center,9206,sources_disagreement,OD01,always,0.49320847155499986,12,1,False,True,False
dual_center,9206,sources_disagreement,OD01,triggered,0.49259641129039294,2,0,False,False,False
dual_center,9206,sources_disagreement,OD02,never,0.5140384383474578,1,0,False,False,False
dual_center,9206,sources_disagreement,OD02,always,0.5141654826173815,12,1,False,True,False
dual_center,9206,sources_disagreement,OD02,triggered,0.5140384383474578,2,0,False,False,False
anisotropic_band,9206,rain_down_water_high,OD01,never,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,rain_down_water_high,OD01,always,0.4562792846828047,12,2,False,True,False
anisotropic_band,9206,rain_down_water_high,OD01,triggered,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,rain_down_water_high,OD02,never,0.4244256944261626,1,0,False,False,False
anisotropic_band,9206,rain_down_water_high,OD02,always,0.39797637191009533,12,3,False,False,False
anisotropic_band,9206,rain_down_water_high,OD02,triggered,0.4004388988195903,2,1,False,False,False
anisotropic_band,9206,water_gradually_stale,OD01,never,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_gradually_stale,OD01,always,0.44735394729372885,12,2,False,False,False
anisotropic_band,9206,water_gradually_stale,OD01,triggered,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_gradually_stale,OD02,never,0.4244256944261626,1,0,False,False,False
anisotropic_band,9206,water_gradually_stale,OD02,always,0.3975545303287247,12,3,False,True,False
anisotropic_band,9206,water_gradually_stale,OD02,triggered,0.39966150855616217,3,1,False,False,False
anisotropic_band,9206,water_block_outage,OD01,never,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_block_outage,OD01,always,0.45345047553824797,12,4,False,True,False
anisotropic_band,9206,water_block_outage,OD01,triggered,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_block_outage,OD02,never,0.4244256944261626,1,0,False,False,False
anisotropic_band,9206,water_block_outage,OD02,always,0.3975545303287247,12,3,False,True,False
anisotropic_band,9206,water_block_outage,OD02,triggered,0.39966150855616217,3,1,False,False,False
anisotropic_band,9206,water_recovery,OD01,never,0.44724408242696234,1,0,False,False,False
