scenario_family,seed,method,truth_exposure,distance_m,max_truth_risk,p95_truth_risk,high_risk_length_ratio,rain_effective_weight_mean,water_effective_weight_mean,water_effective_weight_p90,fallback_fraction,low_reliability_water_usage,source_disagreement_fraction
anisotropic_band,9204,S4_v2_reliability_universal,0.45274863161118817,11152.363482483026,0.6325158712410772,0.5961823255014108,0.0707074757642233,0.9209849301416336,0.257225429897168,0.704207200012351,0.0,0.3041898808430705,0.8162679250050094
anisotropic_band,9204,S5_v2_reliability_source_specific,0.45235810779786445,11145.460539164336,0.631864531977641,0.5947133428289451,0.07143460177885519,0.920984930141643,0.18945025937739762,0.5172443347803675,0.0,0.29510856669522734,0.8022085756431162
anisotropic_band,9205,S0_shortest,0.4666419752715739,10950.795041533209,0.6332354868695877,0.6024645332682739,0.08936175984848142,,,0.0,,0.0,0.0
anisotropic_band,9205,S1_rain_only,0.4515753989340185,11107.466888633133,0.6301095376193397,0.5938703371360322,0.0729659415220861,,,0.0,,0.0,0.0
anisotropic_band,9205,S2_v1_redundant_naive,0.4530403349985298,11081.533548911659,0.6301418101061157,0.5934452787998535,0.07296902578226394,,,0.0,,0.0,0.0
anisotropic_band,9205,S3_v2_local_naive,0.45300196870594395,11082.582023466395,0.6301418101061157,0.5934452787998535,0.07296510779626507,,,0.0,,0.0,0.0
anisotropic_band,9205,S4_v2_reliability_universal,0.4520070227532246,11141.347964492865,0.6308599340096532,0.5952995815275463,0.07144006511460732,0.9209849301416378,0.2644743123932494,0.7162119585192502,0.0,0.31489335772248556,0.8127302905546853
anisotropic_band,9205,S5_v2_reliability_source_specific,0.45173440893325484,11130.535577391198,0.6303642230368559,0.5947390427705872,0.07227177040845421,0.9209849301416594,0.19261584033676737,0.5234728275435359,0.0,0.3042694274208964,0.8003092055099807
anisotropic_band,9206,S0_shortest,0.46785790614187817,10950.795041533209,0.6312413516101092,0.6017007992174926,0.09189671802309723,,,0.0,,0.0,0.0
anisotropic_band,9206,S1_rain_only,0.45276599766180925,11107.990858413275,0.6284230698848667,0.5917415788726162,0.07166170997305138,,,0.0,,0.0,0.0
anisotropic_band,9206,S2_v1_redundant_naive,0.4545501661930684,11078.459554452613,0.6282734088394268,0.5918614694900245,0.07166226103732304,,,0.0,,0.0,0.0
anisotropic_band,9206,S3_v2_local_naive,0.45451796746692824,11079.50802900735,0.6282734088394268,0.5918614694900245,0.07165980859932035,,,0.0,,0.0,0.0
anisotropic_band,9206,S4_v2_reliability_universal,0.45207876085834164,11157.515840998214,0.6287665083492635,0.5928545073143358,0.07008979974923199,0.9209849301416168,0.2552932551692057,0.705491230462477,0.0,0.3082780945201537,0.8045801208299277
anisotropic_band,9206,S5_v2_reliability_source_specific,0.4527209028745918,11133.276404995271,0.6280794497112002,0.5924948921719226,0.07092194385737974,0.9209849301416534,0.1877243702672379,0.5172340021737308,0.0,0.3014977110386765,0.7948766396356391
anisotropic_band,9207,S0_shortest,0.468163390125966,10950.795041533209,0.6330801525340778,0.602585663137223,0.09215580361760609,,,0.0,,0.0,0.0
anisotropic_band,9207,S1_rain_only,0.4526216849861836,11129.48113113333,0.6288464258520475,0.5936135769956762,0.07298832847005321,,,0.0,,0.0,0.0
anisotropic_band,9207,S2_v1_redundant_naive,0.45545666870075047,11072.940260797937,0.6300032452946096,0.5940370958551686,0.07299304512736583,,,0.0,,0.0,0.0
anisotropic_band,9207,S3_v2_local_naive,0.4554476686538566,11071.02255012167,0.62981399856544,0.5939856066485081,0.07350843126947669,,,0.0,,0.0,0.0
anisotropic_band,9207,S4_v2_reliability_universal,0.4525062400481788,11162.531545452293,0.6306231891023488,0.5949136340626564,0.07123170487695374,0.9209849301415839,0.2613273293169704,0.717385342333564,0.0,0.3138821897409817,0.8110445048583736
