u,v,length,shortest_cost,risk_cost,trusted_cost
499478696,499478781,165.159271037668,165.159271037668,723.7469124336675,765.5296761383031
499478696,2525990704,121.81016853751824,121.81016853751824,494.22282180324345,525.038927110854
499478701,7965696332,164.7901786773258,164.7901786773258,715.4344246497006,757.1238136453026
499478701,1116501237,122.29524587319007,122.29524587319007,481.6916161724372,512.6304386098068
499478765,1116501237,67.69142734939246,67.69142734939246,251.52532722224504,268.6502206417862
499478765,7965696332,300.2057383978697,300.2057383978697,1236.3944742588417,1312.3419239626678
499478765,1491845610,147.74495284309765,147.74495284309765,570.1751315871182,607.5523397475233
499478781,2525990691,300.64980111213316,300.64980111213316,1364.1747283518237,1440.2345191149407
499478781,7959590814,20.429348299658777,20.429348299658777,95.25438753195739,100.42269947279698
499478798,7961465962,260.83432818601153,260.83432818601153,1116.8871327435245,1182.8742192218117
499478798,499478813,107.25770864532954,107.25770864532954,434.96016761059474,462.09472365260075
499478813,6467166929,104.14422869740332,104.14422869740332,397.5719757874135,423.91886913179445
499478813,6467166907,54.07496353935164,54.07496353935164,227.79759581475946,241.47773262879403
499481765,499481994,237.7688288222521,237.7688288222521,1056.3751997660959,1252.028792689844
499481765,7959603010,261.0252804064753,261.0252804064753,1177.1732088594313,1374.4912161432237
499481765,1116469157,48.8882636159705,48.8882636159705,204.0555810643902,216.42356230917395
499481994,2750667738,93.97315631710669,93.97315631710669,417.0145968348457,563.83893790264
499481994,7959602961,249.25157951725217,249.25157951725217,1164.533804007269,1495.509477103513
499542312,5832657742,59.72291125536143,59.72291125536143,277.70389106662833,292.8128720705865
499542312,499542538,447.5152505805562,447.5152505805562,1972.2814809129998,2085.4959789653894
499542312,2491099065,98.02835594616919,98.02835594616919,445.23352975639466,532.0974087935352
499542404,1982876946,57.63660528622255,57.63660528622255,266.38098617653304,345.81963171733526
499542404,8791690550,54.01170544082453,54.01170544082453,246.41409128355355,289.9841988372903
499542404,8060848749,88.70236289399595,88.70236289399595,426.46287505407827,532.2141773639758
499542432,13072493372,74.81792194997496,74.81792194997496,381.36683859745887,448.90753169984976
499542538,10556743824,253.82855230966723,253.82855230966723,1137.897299780374,1202.1120323594837
499542538,7959590835,108.47668668697503,108.47668668697503,491.0383823827179,567.5687444174404
499542953,5834799144,56.39999084834117,56.39999084834117,253.41657829669512,295.09448498662266
499542953,2491099046,463.05710121349733,463.05710121349733,1952.3955081515232,2069.54185615971
499542953,8076307465,231.4132616305617,231.4132616305617,934.9765116760099,993.5205193364915
